ano,sexo,raca_cor,populacao
2012,Total,Total,197721000
2012,Total,Branca,92159000
2012,Total,Preta,14544000
2012,Total,Parda,89600000
2012,Homens,Total,95793000
2012,Homens,Branca,43582000
2012,Homens,Preta,7295000
2012,Homens,Parda,44247000
2012,Mulheres,Total,101927000
2012,Mulheres,Branca,48577000
2012,Mulheres,Preta,7250000
2012,Mulheres,Parda,45353000
2013,Total,Total,199402000
2013,Total,Branca,92165000
2013,Total,Preta,14679000
2013,Total,Parda,91215000
2013,Homens,Total,96670000
2013,Homens,Branca,43548000
2013,Homens,Preta,7430000
2013,Homens,Parda,45073000
2013,Mulheres,Total,102732000
2013,Mulheres,Branca,48617000
2013,Mulheres,Preta,7249000
2013,Mulheres,Parda,46141000
2014,Total,Total,201108000
2014,Total,Branca,92822000
2014,Total,Preta,14600000
2014,Total,Parda,92195000
2014,Homens,Total,97334000
2014,Homens,Branca,43800000
2014,Homens,Preta,7378000
2014,Homens,Parda,45455000
2014,Mulheres,Total,103775000
2014,Mulheres,Branca,49022000
2014,Mulheres,Preta,7222000
2014,Mulheres,Parda,46740000
2015,Total,Total,202859000
2015,Total,Branca,92376000
2015,Total,Preta,15614000
2015,Total,Parda,93464000
2015,Homens,Total,98306000
2015,Homens,Branca,43755000
2015,Homens,Preta,7771000
2015,Homens,Parda,46094000
2015,Mulheres,Total,104553000
2015,Mulheres,Branca,48622000
2015,Mulheres,Preta,7843000
2015,Mulheres,Parda,47371000
2016,Total,Total,204532000
2016,Total,Branca,90625000
2016,Total,Preta,16703000
2016,Total,Parda,95364000
2016,Homens,Total,99108000
2016,Homens,Branca,42989000
2016,Homens,Preta,8294000
2016,Homens,Parda,46967000
2016,Mulheres,Total,105425000
2016,Mulheres,Branca,47636000
2016,Mulheres,Preta,8409000
2016,Mulheres,Parda,48397000
2017,Total,Total,206172000
2017,Total,Branca,90127000
2017,Total,Preta,17707000
2017,Total,Parda,96416000
2017,Homens,Total,99682000
2017,Homens,Branca,42787000
2017,Homens,Preta,8792000
2017,Homens,Parda,47229000
2017,Mulheres,Total,106491000
2017,Mulheres,Branca,47341000
2017,Mulheres,Preta,8915000
2017,Mulheres,Parda,49187000
2018,Total,Total,207853000
2018,Total,Branca,89663000
2018,Total,Preta,19227000
2018,Total,Parda,96738000
2018,Homens,Total,100333000
2018,Homens,Branca,42402000
2018,Homens,Preta,9571000
2018,Homens,Parda,47305000
2018,Mulheres,Total,107521000
2018,Mulheres,Branca,47261000
2018,Mulheres,Preta,9656000
2018,Mulheres,Parda,49433000
2019,Total,Total,209496000
2019,Total,Branca,89400000
2019,Total,Preta,19788000
2019,Total,Parda,98122000
2019,Homens,Total,101074000
2019,Homens,Branca,42229000
2019,Homens,Preta,9822000
2019,Homens,Parda,47981000
2019,Mulheres,Total,108423000
2019,Mulheres,Branca,47171000
2019,Mulheres,Preta,9966000
2019,Mulheres,Parda,50141000
